"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","button_pressed","images","left_choice","right_choice"
"","image-button-response","235","183295","0.0-235.0","null","../stimuli/images_hvm10/im128.png","","null","128","2","6"
"","html-button-response","236","187815","0.0-236.0","4519.000000000029","","","0","","",""
"","html-keyboard-response","237","188817","0.0-237.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","238","189319","0.0-238.0","null","../stimuli/images_hvm10/im32.png","","null","32","1","9"
"","html-button-response","239","189824","0.0-239.0","504","","","0","","",""
"","html-keyboard-response","240","190825","0.0-240.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","241","191326","0.0-241.0","null","../stimuli/images_hvm10/im98.png","","null","98","8","4"
"","html-button-response","242","192021","0.0-242.0","693","","","0","","",""
"","html-keyboard-response","243","193022","0.0-243.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","244","193523","0.0-244.0","null","../stimuli/images_hvm10/im191.png","","null","191","9","4"
"","html-button-response","245","194166","0.0-245.0","642","","","0","","",""
"","html-keyboard-response","246","195168","0.0-246.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","247","195670","0.0-247.0","null","../stimuli/images_hvm10/im2.png","","null","2","9","0"
"","html-button-response","248","195874","0.0-248.0","203","","","0","","",""
"","html-keyboard-response","249","196875","0.0-249.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","250","197377","0.0-250.0","null","../stimuli/images_hvm10/im106.png","","null","106","8","5"
"","html-button-response","251","198141","0.0-251.0","763","","","1","","",""
"","html-keyboard-response","252","199142","0.0-252.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","253","199643","0.0-253.0","null","../stimuli/images_hvm10/im158.png","","null","158","7","1"
"","html-button-response","254","200503","0.0-254.0","859","","","0","","",""
"","html-keyboard-response","255","201505","0.0-255.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","256","202006","0.0-256.0","null","../stimuli/images_hvm10/im50.png","","null","50","2","6"
"","html-button-response","257","202954","0.0-257.0","947","","","1","","",""
"","html-keyboard-response","258","203955","0.0-258.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","259","204457","0.0-259.0","null","../stimuli/images_hvm10/im123.png","","null","123","0","6"
"","html-button-response","260","205013","0.0-260.0","554.9999999999709","","","1","","",""
"","html-keyboard-response","261","206014","0.0-261.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","262","206515","0.0-262.0","null","../stimuli/images_hvm10/im160.png","","null","160","8","6"
"","html-button-response","263","207026","0.0-263.0","508.9999999999709","","","1","","",""
"","html-keyboard-response","264","208027","0.0-264.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","265","208528","0.0-265.0","null","../stimuli/images_hvm10/im3.png","","null","3","0","7"
"","html-button-response","266","209059","0.0-266.0","530","","","1","","",""
"","html-keyboard-response","267","210060","0.0-267.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","268","210562","0.0-268.0","null","../stimuli/images_hvm10/im77.png","","null","77","9","3"
"","html-button-response","269","211023","0.0-269.0","460","","","1","","",""
"","html-keyboard-response","270","212024","0.0-270.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","271","212525","0.0-271.0","null","../stimuli/images_hvm10/im124.png","","null","124","6","8"
"","html-button-response","272","212820","0.0-272.0","294.0000000000291","","","1","","",""
"","html-keyboard-response","273","213822","0.0-273.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","274","214323","0.0-274.0","null","../stimuli/images_hvm10/im130.png","","null","130","6","1"
"","html-button-response","275","214782","0.0-275.0","459","","","1","","",""
"","html-keyboard-response","276","215784","0.0-276.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","277","216285","0.0-277.0","null","../stimuli/images_hvm10/im139.png","","null","139","8","6"
"","html-button-response","278","216769","0.0-278.0","483","","","0","","",""
"","html-keyboard-response","279","217771","0.0-279.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","280","218272","0.0-280.0","null","../stimuli/images_hvm10/im108.png","","null","108","3","5"
"","html-button-response","281","218814","0.0-281.0","540","","","0","","",""
"","html-keyboard-response","282","219815","0.0-282.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","283","220317","0.0-283.0","null","../stimuli/images_hvm10/im179.png","","null","179","8","3"
"","html-button-response","284","220857","0.0-284.0","536.9999999999709","","","0","","",""
"","html-keyboard-response","285","221859","0.0-285.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","286","222360","0.0-286.0","null","../stimuli/images_hvm10/im186.png","","null","186","1","9"
"","html-button-response","287","222907","0.0-287.0","547","","","0","","",""
"","html-keyboard-response","288","223909","0.0-288.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","289","224410","0.0-289.0","null","../stimuli/images_hvm10/im167.png","","null","167","8","0"
"","html-button-response","290","225055","0.0-290.0","643","","","0","","",""
"","html-keyboard-response","291","226056","0.0-291.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","292","226557","0.0-292.0","null","../stimuli/images_hvm10/im59.png","","null","59","2","7"
"","html-button-response","293","227116","0.0-293.0","557.9999999999709","","","1","","",""
"","html-keyboard-response","294","228117","0.0-294.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","295","228619","0.0-295.0","null","../stimuli/images_hvm10/im146.png","","null","146","1","7"
"","html-button-response","296","229279","0.0-296.0","659.0000000000291","","","1","","",""
"","html-keyboard-response","297","230279","0.0-297.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","298","230781","0.0-298.0","null","../stimuli/images_hvm10/im80.png","","null","80","8","4"
"","html-button-response","299","231418","0.0-299.0","636","","","1","","",""
"","html-keyboard-response","300","232419","0.0-300.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","301","232922","0.0-301.0","null","../stimuli/images_hvm10/im55.png","","null","55","2","1"
"","html-button-response","302","233477","0.0-302.0","554","","","1","","",""
"","html-keyboard-response","303","234479","0.0-303.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","304","234981","0.0-304.0","null","../stimuli/images_hvm10/im151.png","","null","151","7","4"
"","html-button-response","305","235640","0.0-305.0","658","","","1","","",""
"","html-keyboard-response","306","236641","0.0-306.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","307","237143","0.0-307.0","null","../stimuli/images_hvm10/im150.png","","null","150","7","4"
"","html-button-response","308","238120","0.0-308.0","977","","","0","","",""
"","html-keyboard-response","309","239122","0.0-309.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","310","239624","0.0-310.0","null","../stimuli/images_hvm10/im35.png","","null","35","1","4"
"","html-button-response","311","240165","0.0-311.0","539.0000000000291","","","0","","",""
"","html-keyboard-response","312","241167","0.0-312.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","313","241669","0.0-313.0","null","../stimuli/images_hvm10/im21.png","","null","21","5","1"
"","html-button-response","314","242759","0.0-314.0","1090","","","0","","",""
"","html-keyboard-response","315","243761","0.0-315.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","316","244263","0.0-316.0","null","../stimuli/images_hvm10/im190.png","","null","190","6","9"
"","html-button-response","317","245351","0.0-317.0","1088","","","1","","",""
"","html-keyboard-response","318","246352","0.0-318.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","319","246854","0.0-319.0","null","../stimuli/images_hvm10/im121.png","","null","121","2","6"
"","html-button-response","320","247521","0.0-320.0","666","","","1","","",""
"","html-keyboard-response","321","248521","0.0-321.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","322","249024","0.0-322.0","null","../stimuli/images_hvm10/im78.png","","null","78","3","7"
"","html-button-response","323","249823","0.0-323.0","798","","","1","","",""
"","html-keyboard-response","324","250825","0.0-324.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","325","251327","0.0-325.0","null","../stimuli/images_hvm10/im131.png","","null","131","7","6"
"","html-button-response","326","253196","0.0-326.0","1868","","","1","","",""
"","html-keyboard-response","327","254198","0.0-327.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","328","254700","0.0-328.0","null","../stimuli/images_hvm10/im120.png","","null","120","6","9"
"","html-button-response","329","255223","0.0-329.0","521.9999999999709","","","1","","",""
"","html-keyboard-response","330","256225","0.0-330.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","331","256727","0.0-331.0","null","../stimuli/images_hvm10/im189.png","","null","189","9","0"
"","html-button-response","332","257431","0.0-332.0","703.9999999999418","","","1","","",""
"","html-keyboard-response","333","258433","0.0-333.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","334","258935","0.0-334.0","null","../stimuli/images_hvm10/im147.png","","null","147","7","2"
"","html-button-response","335","260139","0.0-335.0","1202.0000000000582","","","0","","",""
"","html-keyboard-response","336","261140","0.0-336.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","337","261641","0.0-337.0","null","../stimuli/images_hvm10/im145.png","","null","145","0","7"
"","html-button-response","338","262213","0.0-338.0","571","","","0","","",""
"","html-keyboard-response","339","263214","0.0-339.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","340","263716","0.0-340.0","null","../stimuli/images_hvm10/im141.png","","null","141","7","1"
"","html-button-response","341","264727","0.0-341.0","1011.0000000000582","","","0","","",""
"","html-keyboard-response","342","265728","0.0-342.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
"","image-button-response","343","266230","0.0-343.0","null","../stimuli/images_hvm10/im105.png","","null","105","5","9"
"","html-button-response","344","266773","0.0-344.0","541","","","1","","",""
"","html-keyboard-response","345","267774","0.0-345.0","null","<div style=""font-size:60px;"">+</div>","null","","","",""
