count,experiment,ID,age,handedness,sex,other_sex,course,ntrials-same-20,ntrials-same-23,ntrials-same-24,ntrials-same-25,ntrials-same-26,ntrials-same-27,ntrials-same-30,ntrials-small-20,ntrials-small-23,ntrials-small-24,ntrials-small-25,ntrials-small-26,ntrials-small-27,ntrials-small-30,rt-same-20,rt-same-23,rt-same-24,rt-same-25,rt-same-26,rt-same-27,rt-same-30,rt-small-20,rt-small-23,rt-small-24,rt-small-25,rt-small-26,rt-small-27,rt-small-30,testbigger-same-20,testbigger-same-23,testbigger-same-24,testbigger-same-25,testbigger-same-26,testbigger-same-27,testbigger-same-30,testbigger-small-20,testbigger-small-23,testbigger-small-24,testbigger-small-25,testbigger-small-26,testbigger-small-27,testbigger-small-30,pse-same,pse-same-avefit,slope-same,slope-same-avefit,pse-small,pse-small-avefit,slope-small,slope-small-avefit
11,0,6472,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,747.6699999928475,925.5200000166893,1284.6000000059605,1188.749999988079,955.8649999976158,936.5650000035763,712.0100000023842,1006.3549999833107,1246.0800000071526,1146.0449999928474,759.5950000047684,728.8949999988079,796.2800000071526,662.1349999904633,0.15,0.45,0.4,0.55,0.55,0.7,1.0,0.25,0.7,1.0,1.0,0.95,1.0,1.0,24.44042893360668,24.99231762651599,0.10431905874851018,0.1921818530881045,21.372934362973503,23.10621932607183,0.2114539643245957,0.153649371362767
12,0,6882,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,853.2000000000029,1222.7500000000086,1546.0499999999854,795.5499999999913,1322.8500000000058,1269.3500000000233,631.7000000000087,888.3000000000117,1179.999999999997,948.499999999997,1582.8499999999883,1067.5999999999942,757.0000000000146,731.6999999999913,0.05,0.15,0.25,0.55,0.8,0.95,1.0,0.1,0.75,0.9,0.85,0.95,0.9,1.0,24.774334806661063,24.99231762651599,0.28023121368844955,0.1921818530881045,22.048082173138923,23.10621932607183,0.25538252541494477,0.153649371362767
13,0,7024,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1048.5549999999998,760.5899999999999,896.8699999999999,726.955,660.41,779.915,604.06,708.325,929.1199999999999,659.16,768.68,662.8299999999998,916.115,608.1800000000001,0.1,0.25,0.2,0.45,0.75,0.6,1.0,0.4,0.5,0.75,0.9,0.85,0.9,0.95,25.176995643679,24.99231762651599,0.1310842691414655,0.1921818530881045,21.524820119269435,23.10621932607183,0.09848676371520006,0.153649371362767
14,0,7380,21,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,620.5,775.4,1033.6,772.65,706.0,671.4,670.65,621.6,1045.65,944.95,797.7,618.45,645.95,633.65,0.05,0.3,0.5,0.55,0.65,0.8,0.8,0.1,0.45,0.25,0.4,0.55,0.45,0.8,24.793172611215965,24.99231762651599,0.10015663524834018,0.1921818530881045,26.056771805113755,23.10621932607183,0.0780912467344201,0.153649371362767
15,0,7578,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1282.3249999985098,1967.1799999967218,1938.920000000298,2203.719999998808,1427.6099999964238,3344.7600000008943,1253.0299999967217,1064.2800000041723,1914.5149999991058,1910.310000000894,1604.8850000023842,1581.6450000032783,1590.344999998808,1163.589999997616,0.0,0.1,0.2,0.6,0.85,0.95,1.0,0.0,0.3,0.65,0.55,0.7,0.9,0.95,24.790493219115668,24.99231762651599,0.31782032491209644,0.1921818530881045,24.227198807281514,23.10621932607183,0.16506342464845972,0.153649371362767
16,0,7823,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1083.035000000149,1109.1850000005215,1105.7050000000745,1235.1849999997764,972.9600000012667,2169.8299999993296,954.9700000006706,1056.519999999553,1017.4250000003725,728.730000000447,751.015000000596,707.525,857.8049999989569,632.0199999999255,0.15,0.35,0.45,0.4,0.55,0.65,0.7,0.1,0.5,0.45,0.7,0.5,0.8,0.7,25.584282412796682,24.99231762651599,0.0711182364662882,0.1921818530881045,24.50268130735292,23.10621932607183,0.07368589765327978,0.153649371362767
17,0,7927,20,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,718.45,999.75,948.75,996.45,1066.35,881.55,728.15,1048.9,1135.35,1064.25,860.2,749.05,768.0,891.9,0.0,0.0,0.4,0.55,0.7,0.75,1.0,0.05,0.6,0.6,0.95,1.0,1.0,1.0,25.151862798990127,24.99231762651599,0.21934537508914348,0.1921818530881045,22.855200365703766,23.10621932607183,0.25141435211039675,0.153649371362767
18,0,8150,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,727.325000015,868.4649999800001,953.5049999949999,964.4900000099997,950.97000005,801.0049999999999,980.390000005,1161.594999975,1166.2900000099999,1113.1200000149997,1240.3199999849999,946.199999965,1068.21999999,777.6350000200001,0.0,0.1,0.2,0.55,0.7,0.8,1.0,0.35,0.65,0.55,0.8,0.9,0.95,1.0,25.184769713854713,24.99231762651599,0.23002005451745036,0.1921818530881045,21.965011939172797,23.10621932607183,0.11341883958173345,0.153649371362767
19,0,9092,19,left,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,766.1200000166893,868.7899999856949,1059.8799999833107,893.4899999856949,931.9699999809266,827.3550000309945,765.289999973774,790.2599999904633,893.3100000023842,953.5949999928474,867.160000038147,832.7800000071526,770.6449999928475,716.1150000214577,0.3,0.15,0.25,0.6,0.85,1.0,0.95,0.0,0.45,0.7,0.85,0.9,0.85,0.8,24.71536457151354,24.99231762651599,0.39024692970764435,0.1921818530881045,23.22123822695701,23.10621932607183,0.28754611322407786,0.153649371362767
20,0,9275,19,right,female,,NRSC2200_W2022,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1111.1899999996647,2327.4199999999255,2156.865000000037,2649.7099999999627,2447.2650000002236,1343.614999999851,1309.5649999994785,2558.3200000001116,3794.9650000002234,2342.455000000261,2156.714999999851,1651.6449999997392,3134.354999999702,1507.8899999996647,0.1,0.15,0.35,0.4,0.65,0.85,1.0,0.15,0.65,0.8,0.8,0.95,0.95,1.0,25.106088056622774,24.99231762651599,0.1967960818588177,0.1921818530881045,22.317376586641988,23.10621932607183,0.15909318405585626,0.153649371362767
