"success","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","key_press","responses","button_pressed","images","left_choice","right_choice"
"","html-keyboard-response","325","275666","0.0-325.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","326","276172","0.0-326.0","null","stimuli/images_hvm10/im124.png","","","null","124","6","0"
"","html-button-response","327","277264","0.0-327.0","1091","","","","0","","",""
"","html-keyboard-response","328","278268","0.0-328.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","329","278768","0.0-329.0","null","stimuli/images_hvm10/im14.png","","","null","14","6","0"
"","html-button-response","330","279504","0.0-330.0","734","","","","1","","",""
"","html-keyboard-response","331","280505","0.0-331.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","332","281006","0.0-332.0","null","stimuli/images_hvm10/im49.png","","","null","49","2","3"
"","html-button-response","333","282425","0.0-333.0","1418","","","","0","","",""
"","html-keyboard-response","334","283426","0.0-334.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","335","283927","0.0-335.0","null","stimuli/images_hvm10/im125.png","","","null","125","6","4"
"","html-button-response","336","284722","0.0-336.0","795","","","","0","","",""
"","html-keyboard-response","337","285723","0.0-337.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","338","286223","0.0-338.0","null","stimuli/images_hvm10/im61.png","","","null","61","6","3"
"","html-button-response","339","286898","0.0-339.0","675","","","","1","","",""
"","html-keyboard-response","340","287899","0.0-340.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","341","288402","0.0-341.0","null","stimuli/images_hvm10/im120.png","","","null","120","6","3"
"","html-button-response","342","289195","0.0-342.0","791","","","","0","","",""
"","html-keyboard-response","343","290196","0.0-343.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","344","290697","0.0-344.0","null","stimuli/images_hvm10/im13.png","","","null","13","5","0"
"","html-button-response","345","291346","0.0-345.0","648","","","","1","","",""
"","html-keyboard-response","346","292347","0.0-346.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","347","292849","0.0-347.0","null","stimuli/images_hvm10/im122.png","","","null","122","4","6"
"","html-button-response","348","293715","0.0-348.0","865","","","","1","","",""
"","html-keyboard-response","349","294717","0.0-349.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
"","image-button-response","350","295218","0.0-350.0","null","stimuli/images_hvm10/im121.png","","","null","121","6","8"
"","html-button-response","351","296090","0.0-351.0","872","","","","0","","",""
"","html-keyboard-response","352","297092","0.0-352.0","null","<div style=""font-size:60px;"">+</div>","null","","","","",""
