run_id,condition,rt,response,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,response_type,key_press,avg_frame_time,center_x,center_y,trial,block,test_pos,test_inner_radius,test_outer_radius,ref_inner_radius,ref_outer_radius,test_bigger,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version,source_code_version
11,1,null,null,psychophysics,225,984482,0.0-3.0-1.109,"""",key,null,16.672881355933388,762.5,347,"""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,2897,arrowright,psychophysics,226,987380,0.0-3.0-0.110,"""",key,arrowright,16.673063583815377,762.5,347,111,4,1,26,15,25,35,true,"2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,null,null,psychophysics,227,988392,0.0-3.0-1.110,"""",key,null,16.672999999998137,762.5,347,"""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,3218,arrowright,psychophysics,228,991616,0.0-3.0-0.111,"""",key,arrowright,16.673020833333187,762.5,347,112,5,-1,24,35,25,35,false,"2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,null,null,psychophysics,229,992622,0.0-3.0-1.111,"""",key,null,16.672881355931413,762.5,347,"""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,1963,arrowright,html-keyboard-response,230,994586,0.0-3.0-2.111-0.111,"<div style=""color: white; text-align: center; vertical-align: top; display: inline-block; width: 800px; margin: auto""><p>You have completed 40% of the trials. You are on block 5 of 10. <br>Good job! Take a break if you need to.</p><p>Press any key to continue the experiment.</p></div>","""","""","""","""","""","""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,1441,arrowleft,psychophysics,231,997046,0.0-3.0-0.112,"""",key,arrowleft,16.672558139534505,762.5,347,113,5,-1,24,15,25,35,true,"2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,null,null,psychophysics,232,998062,0.0-3.0-1.112,"""",key,null,16.673000000000076,762.5,347,"""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,922,arrowright,psychophysics,233,998988,0.0-3.0-0.113,"""",key,arrowright,16.67296296296236,762.5,347,114,5,-1,23,35,25,35,false,"2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,null,null,psychophysics,234,1000002,0.0-3.0-1.113,"""",key,null,16.672999999998137,762.5,347,"""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,912,arrowright,psychophysics,235,1000917,0.0-3.0-0.114,"""",key,arrowright,16.67296296296236,762.5,347,115,5,-1,27,35,25,35,false,"2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,null,null,psychophysics,236,1001931,0.0-3.0-1.114,"""",key,null,16.673000000000076,762.5,347,"""","""","""","""","""","""","""","""","2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
11,1,928,arrowright,psychophysics,237,1002861,0.0-3.0-0.115,"""",key,arrowright,16.67309090908913,762.5,347,116,5,-1,20,15,25,35,false,"2021-09-29 01:22:31",173.35.108.254,"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:78.0) Gecko/20100101 Firefox/78.0",,Firefox,78.0,Windows,10.0,fe3c1d035a65c549f7011c5446f73ede
